Review,Features
"I read mixed reviews on Kiss and Kin But I love Kinsey Holley so I decided I need to make my own opinion and I'm very happy I did :)In this novella Bk. 1 of Werewolves in Love Series she introduces us to Taran and Lark (gotta love the names) who by chance happen to be cousins through marriage not blood. Both these tortured individuals happen to be in love with each other but don't know what to do about for several reasons. I love the Taboo story line :)Lark gets herself into a bad position,GHB and an attempt on her life. When Taran comes to the rescue things progress and wow do they!When you read this story you feel intensity of their feelings towards each other and the struggle they both go through.I love how Kinsey portrays Lark, she is a strong character but falls apart when unsure of herself and Taran. This made her more real to me. And Taran WOW! a patient caring Alpha in cowboy boots :) Yummy.Can't wait to find out what happens next in Yours, Mine, and Howls.Check it out!! Kinsey W. Holley writes - hot, sexy, and shifter if you like that, you'll love this. xoxo",The novella Bk. 1 of Werewolves in Love Series introduces us to Taran and Lark (gotta love the names) who by chance happen to be cousins through marriage not blood. Both these tortured individuals happen to be
"The only thing that got me to the end of this story was sheer cussedness.  The storyline was flat, there was absolutely no character development, and the dialog was from a cheesy porn.  I found myself increasingly disgusted with the female lead and her whining.  In no way did I find myself sympathetic to the protagonist nor did I find myself even caring what made him who he was.  There was no back story to explain what brought the main characters to this point of the book.  And while I can suspend my belief with the best of them, I just wasn't buying it this time.","The storyline was flat, there was absolutely no character development, and the dialog was from a cheesy porn. I found myself increasingly disgusted with the female lead and her whining. In no way did I"
Love the paper. Great writers but cancelled my subscription due to the price. If the price comes down to like $12/mo I might buy it them. I do buy an occasional single issue for $.99 which I really like. Gave 5 stars for the papers content. I can't rate low due to the cost since I was aware of the cost when subscribing.,Love the paper. Great writers but cancelled my subscription due to the price. If the price comes down to like $12/mo I might buy it them. I do buy an occasional single issue for $.99 which I really like. Gave 5
Book moved rapidly. Ending was predictiblebut I really liked. The writer held your interest all the way through. Would recommend it,Book moved rapidly. Ending was predictiblebut I really liked. The writer held your interest all the way through. Would recommend it
"This is not a good ghost story, nor is it a romance. To me it was a poorly written Harlequin romance with a lot of smut thrown in.  The author doesn't appear to know what genre` she's trying to capture.There were numerous typos which I found annoying. The author also incorporated Elvis' name, but did it in a way that I found disrespectful as well as inaccurate. Stephen King she's NOT!If you're looking for a good ghost story, this isn't it. If you're looking for a romance novel, this isn't that either.It had the potential to be an interesting story, but instead turned out to be a mish-mash of ideas.I won't be looking for any other books from this author.","This is not a good ghost story, nor is it a romance. To me it was a poorly written Harlequin romance with a lot of smut thrown in. The author doesn't appear to know what"
"Ok for a quick read, but only the main people stood out, so why add other characters? Oh well it was ok but still rushed in my opinion.not quite sure what went wrong.but I'm sure something did.",ok but still rushed in my opinion.not quite sure what went wrong.but I'm sure something did.
"strong, loyal, brave...that describes Morgan Tallchief...it also describes Kathleen, the girl he believed was killed in an explosion 16 years ago - what a shock when she shows up at his house with her 15 year old daughter who looks just like him, but has her eyes - believable characters, well developed story ...no more secrets between these two","""strong, loyal, brave...that describes Morgan Tallchief...it also describes Kathleen, the girl he believed was killed in an explosion 16 years ago - what a shock when she shows up at his house with her 15 year old daughter"
i really thought this book was going to be better from the reviews.  Maybe it was more of a teenage type book than an adult one.  I didnt' read the second book in the series was not that interested.,I really thought this book was going to be better from the reviews. Maybe it was more of a teenage type book than an adult one. I didn't read the second book in the series was not that interested.
"This was one of Ms Lennox earlier writings and you could really tell, especially if you read a lot of her books.I wanted to like the story, very sweet but hard to accept the characters and main plot of story.","This was one of Ms Lennox earlier writings and you could really tell, especially if you read a lot of her books.I wanted to like the story, very sweet but hard to accept the characters and main plot of story"
"When I first came across Jonny Tangerine's Toe Popper I hesitated reading it because of the cover. I just kept visualizing this lady on the cover getting blown up. I think if the cover had just shown the water and sand etc. with no people on the cover I may have felt different and bought it. JMO. My family and friends and I had a discussion on covers and if any of us had not bought a book because of the cover and some of us said "" A picture is worth a thousand words"" and it is the first thing we see when seeing a book is it's cover and it gives an impression of what the book is about. I've come across 3 Kindle story covers that I hadn't bought until I asked my family and friends if any of them have read the story's.I read this story week's ago and am just getting time to write the review. This mystery was gifted to me by a friend who thought I would like it and I am glad that he did because I thoroughly got hooked with the many twists and turns and holding my breath at certain times in this mystery.Characters FBI agent Catherine (I was thrilled to see a strong female FBI lead character) and to know the background and turmoil that Major Joel Lane was going through. These two characters were striving to find out who the culprit was and to put a stop to this madness.I am looking forward to reading more from Jonny Tangerine and I hope there will be a book #2 to this novel.I recommendToe Popperto mystery/thriller readers.",The Toe Popper is one of the best books I've ever read.
This book addresses a problem most churches ignore.  Many people leave organized religion because of the pain inflicted by the religious.  Chris Jackson addresses the problem from both sides and offers understanding and healing for the wounded.  Highly recommend this book for anyone who has been offended in church.,This book addresses a problem most churches ignore. Many people leave organized religion because of the pain inflicted by the religious. Chris Jackson addresses the problem from both sides and offers understanding and healing for the wounded. Highly recommend this book for anyone
"I read books not only because I love to read about new characters and their adventures, but also because I want to write. I am currently hard at work on the fourth rewrite of my manuscript, and some of the best places I look to for inspiration are other books. Seeing how the author flows the action, how they make the characters come alive, how they draw me in, gives me fresh ideas on how to make my own writing better. So when I read and review novels, I am not just reviewing as a reader, but also as a writer. I just wanted to add that little disclaimer before I get into my next review.Sammi Ever After, the debut novel from Soma Helmi has a great plot. Sammi, a young girl in her twenties, finds a friend from childhood and instantly falls in love, preparing to move across the world just to be with him. It's her fairy tale come true. Until she arrives at the airport only to find out she has been dumped- over an email. Fairy tale broken. When Sammi finally forces herself off her friend's couch and secures a job and new friends, she decides to take a little journey to try to search for that fairy tale ending. From London to Bali to Greece, Sammi gets tangled in sticky situations and personal revelations, and realizes that her Prince Charming may have been by her side the entire time.Like I said, I think the plot is fantastic. A great story about self-discovery and love, and I am a huge travel geek, so reading about all these destinations I hope to visit had me amped to read this story. But once I started, the writing fell flat to me. Helmi relied on flashbacks and back story when introducing characters, much that was simply not needed and unnecessary to the story. For each flashback, I felt myself became less engaged in the action. Another problem I had was the dialogue didn't seem very realistic. I don't know anyone who would actually describe someone's look aloud by saying ""His sandy blonde hair and piercing blue eyes and the way his muscles ripple..."" That could be the thoughts of someone, but for a person (especially a young girl) to describe someone else that way? It just wasn't believable for me. So as much as I would have liked this plot and the characters that came along for the ride, I do not feel the writing did the story justice.","I read books not only because I love to read about new characters and their adventures, but also because I want to write. I am currently hard at work on the fourth rewrite of my manuscript, and some of the best places I look to"
Emma Darcy has always been a good writer I love reading her books. they are the best pick me up when I am in a funk so as always great read.,Emma Darcy has always been a good writer I love reading her books. They are the best pick me up when I am in a funk so as always great read.
And my but is very personal: I just don't want to get to know the main character who lays beside his wife in bed imagining how he could kill her with the knife he holds.  Don't need it.,I just don't want to get to know the main character who lays beside his wife in bed imagining how he could kill her with the knife he holds. Don't need it.
"Way too short.It is a good fun story. It pulls you in and keeps you reading. It's not that it was really too short, just that it was so fun, I tore through it too fast. It's well written with very few errors. What few there were did not stop the flow.","It is a good fun story. It pulls you in and keeps you reading. It's not that it was really too short, just that it was so fun, I tore through it too fast. It's well written with"
"James Somers has written another great book for all ages, proving that a book doesn't need graphic sex or vulgarity to be good!  It is a fast read, one that would be perfect for younger readers/teens with the right amount of fantasy and imagination without getting dragged out.  A young boy, who is used to being the one picked on, is knocked unconscious by bullies, in his dreams he finds he has ""powers"" beyond the normal and is thrown into a new world where he is important to those around him.  These dream friends accept him, respect him and encourage him.  A great story for anyone who has ever felt ""awkward"" in their own skin.","James Somers has written another great book for all ages, proving that a book doesn't need graphic sex or vulgarity to be good! It is a fast read, one that would be perfect for younger readers/"
"Brody Nash has the perfect idea for the one year anniversary of his relationship with his girlfriend Sidney - a m&eacute;nage with his best friend Drew.  Brody loves Sidney and sharing her with anyone would never have even come up if he hadn't noticed that some of her preferred reads involve m&eacute;nage relationships.Drew Buchanan isn't the settling down kind of guy and he never stays with any one woman for very long.  He leads more of a nomadic lifestyle and often sails off on his yacht aptly named `Sunset.'  He's a brilliant desert chef and creates his delectable treats for Brody's restaurant, The Blue Fish Grill, whenever he's in Graceville but he's finding it harder and harder to stay in town especially since he's in love with Sidney.Sidney McCall has always lived a nomadic lifestyle.  Her mother never stayed in one place very long and she simply continued the lifestyle she already knew - until she met Brody.  They quickly moved from the initial meeting to living together and even a year after the fact, Sidney still feels like it's all a dream.In celebration of their first anniversary together Sidney plans to surprise Brody with a delicious meal along with a sexy outfit when he returns home from the restaurant - and succeeds.  Brady had intended to tell Sidney that he'd invited Drew over and about his surprise but one look at her in her sexy dress and all his brain cells headed south.  Dinner's put on hold while they satisfy other hungers - until they hear the knock at the door and then Brody remembers that he still has to tell her about his `gift.'  Sidney can't deny an attraction to Drew and even though she isn't entirely comfortable with the idea of sex with two men at the same time it is a fantasy of hers and if it's alright with the men then who is she to argue.  Things turn decidedly odd afterwards and Sidney's not sure what to think about Drew's cold disinterested attitude and to make things even more complicated Brody notices her preoccupation and assumes that it's more than just friendly concern.Sami Lee delves into what could happen when the thing you fantasize about turns out to be the exact opposite of what you truly desire.  Sidney and Brody are deeply in love with each other but neither of them are truly certain of the others feelings.  I found the dynamics between these three characters to be oddly fascinating but at the same time understand why Drew's held himself apart from Brady and Sidney.  I'd love to know what happened with Drew after this story ends.  He's a special guy who deserves a little happiness in his life and a special woman.Chrissy Dionne (courtesy of Romance Junkies)",Bredy Nash has the perfect idea for the one year anniversary of his relationship with his girlfriend Sidney - a m&eacute;nage with his best friend Drew. Brody loves Sidney and sharing her
"Aside from the clich&eacute;d marathon sex in this book I was left pretty confused by the ending as to what exactly I had just read. Did she dream it? Does he recognized her? I'm not really complaining because it's free and I did enjoy reading it for the most part, but there was nothing very special about it and the ""twist"" if that's what you call it at the end really just left me scratching my head. A bit of fluff with not a lot of substance, this book is fine if you are just browsing for something free to read because there's really nothing more than that to it.","A bit of fluff with not a lot of substance, this book is fine if you are just browsing for something free to read because there's really nothing more than that to it."
"This is my first Lori Foster book(s) - great story about 4 brothers - haven't finished reading about Jordan yet but decided to give a review.  Romantic, good story and great characters with lots of humour.  Think my Kindle will be checking out some more of Lori's books.","Great story about 4 brothers - haven't finished reading about Jordan yet but decided to give a review. Romantic, good story and great characters with lots of humour. Think my Kindle will be checking out some more of"
"I have read tons of books, and this is one of the best books I've ever read! Imagine the concept of a hitch-hiking serial killer being picked up by a serial killer! It's hilarious! I've read all the versions and prequels and sequels that Kilborn and Crouch wrote about these characters, and let me tell you they are all great! They have some really twisted minds, and I love that. Kinda reminds me of myself lol. Keep it up you two, because I want to read more of your stuff! And don't ever hitchhike!!!",This is one of the best books I've ever read! Imagine the concept of a hitch-hiking serial killer being picked up by a serial killer! It's hilarious! I've read all the versions and prequel
"Hawke is an interesting, unusual hero. The author writes extremely well! He holds your interest to the very end. This is a fun read.","This is an interesting, unusual hero. The author writes extremely well! He holds your interest to the very end. This is a fun read."
The premise of this book was totally disgusting and I'm sorry I readit. I deleted it. Don't bother if you value your sanity.,The premise of this book was totally disgusting and I'm sorry I readit. I deleted it. Don't bother if you value your sanity.
"WOW! This is a major league book of hotness!  I love reading about the bisexual men as much as the menage, etc.  Two men who can pleasure each other AND admit a female??  I'm so there!  At $2,  it was a great way to introduce this author to me.  DEFINATELY purchasing more by Ms. McKenna.  Brava!","This is a major league book of hotness! I love reading about the bisexual men as much as the menage, etc. Two men who can pleasure each other AND admit a female?? I'm so there! At $2,"
"Can you review a novel that you didn't finish? If so, I found the writing extremely &#34;wooden&#34;. Sort of what you might expect from a freshm,an in a school of journalism.I didn't feel that it would get any better after the first two or three capters, so I stopped reading.","Can you review a novel that you didn't finish? If so, I found the writing extremely &#34;wooden&#34;. Sort of what you might expect from a freshm,an in a school"
"Apparently this is a prequel to the series.  I have read nothing of the series but bought the ""Lords of the Underworld"" bundle that has this book and the first three books.  I read a reviewer's note that said if you get the sample of this bundle that you will get the entire short story/prequel in that sample (word to the wise).  Of course that would only be helpful for people who have read the rest of the series and didn't want to buy the prequel.  For me, I just decided to delve into this series so I didn't mind getting it in the bundle.It has some pretty low reviews.  Normally I would never buy and probably wouldn't read a book or novella that has 3 stars.  I am pretty surprised it has such low reviews, but perhaps people were hoping for more from this prequel.This story is about the guardian to the gates of Hell (Geryon) and the goddess of oppression, Kadence who is in charging of maintaining the wall between the human realm and Hell.  The wall has a crack in it and Kadence bargains with Lucifer to allow Geryon to help her repair it.  Only the very end does it bring up Pandora's box (from what I can gather, the point of the story was to give us the background on Pandora's box, but I am not sure if Geryon or Kadence play any role in the rest of the books).I plan to read the next book, The Darkest Night next.  Here I go...","Apparently this is a prequel to the series. I have read nothing of the series but bought the ""Lords of the Underworld"" bundle that has this book and the first three books. I read a reviewer'"
"I have been really enjoying the Kindle on the I-pod this is one of my first downloads and what a great story could not stop reading and what a great price, It is one of those stories that stick with you for days","This is one of my first downloads and what a great story could not stop reading and what a great price, It is one of those stories that stick with you for days"
"A DANCE IN THE DARK by Karen Ranney is a romantic novella set in Regency England.It is written with depth and details.The characters are warm,charming and enchanting.It has love,romance,being different,despair,loneliness,pain,and an ugly duckling meets the beast.Louisa, a heiress who is considered ugly but has a heart of gold,craves to be loved by someone not just for her money but for her intelligence,quick mind and wit.Douglas, a recluse with a dark secret (he is a vampire),and craves to be able to be with people without fear of hurting or killing them. This is a wonderful,sweet story of fairy tales can come true and have a happy ever after ending.This is a quick read and will leave you in wonder of the true power of love.I would highly recommend this book especially if you enjoy true love,happiness,and finding your soul mate.This book was received for the purpose of review from the author and details can be found at KRKS Books and My Book Addiction and More.","A DANCE IN THE DARK is a romantic novella set in Regency England.It is written with depth and details.The characters are warm,charming and enchanting.It has love,romance,being different"
"Perhaps this book was meant to be a trite sarcastic waste of time umm Yeah.  If that was its goal, I guess I need to rethink my rating.  But Umm actually the book got two stars as the trite sarcastic writing style did make me laugh.  A list of 125 traveling tips not all regarding traveling with a vampire and many just plain simple. I am sorry this was the first taste I have had of this author, but VERY glad this was a freebie.","A list of 125 traveling tips not all regarding traveling with a vampire and many just plain simple. I am sorry this was the first taste I have had of this author, but VERY glad this was a freebie."""
Amazing!!! This book kept you wanting more! I didn't want to put it down!!! I WILL read all Jim Richard novels I come across.,Five Stars
"Love this case!  It protects the Kindle and opens on only 2 sides, so you're less likely to drop it when opening and closing it.  Also looks very ""professional"" in your briefcase.","Love this case! It protects the Kindle and opens on only 2 sides, so you're less likely to drop it when opening and closing it. Also looks very ""professional"" in your briefcase."
"You Can Leave Your Hat On is what the title promised, a naughty little novella on a stripper and his lover. The starting point of the story is one I already see in the past, a young and handsome College TA, Harlan, who has the hots for his even more handsome, a slightly older, College professor, Sawyer. The book respects the rules of a May / December romance plus the College setting with an Office Affairs theme... the shorten the thing, this is the classical romance by the rule, with the twist of being a gay romance. So I would say that it can appeal both to the old fan of the gay romance than to a newbie who wants to try her hand on the genre.Being Sawyer older and also Harlan's superior, he has all the trouble of the case: he can't take advantage of his position, he doesn't want to be involved with a younger man who can have everyone he wants, and plus there is also a little problem of appropriateness... Harlan to make the ends meet has a side job as a stripper in the local gay club, and Sawyer saw him at his workplace. So the point if Sawyer is gay is no more a question, but now there is the biggest problem that, even if Sawyer manages to move on the fact to have a relationship with a student, the fact that said student is a stripper is a big NO for the career of a college professor.And so Sawyer didn't make a move on Harlan, stopped to go to that club, and forced himself to have a strictly professional relationship with the boy. Only that Harlan is not of the same idea, and as soon as he reaches his graduation day, he is also ready, willing and naked for the professor to take. Harlan has all the cockiness of his young age, he is really convinced that Sawyer is avoiding him only since they have a professional relationship to preserve, and he thinks that, as soon as that problem is over, Sawyer will be all his to take. In a way I like how daring and careless Harlan is, but this only proves that he is really young.Being Harlan one of his students, it's not the only problem for Sawyer; there is also the question of his side job, as a stripper, that is not exactly a good visiting card to prove his willingness to commit and being exclusive; and then even if Harlan wants a real relationship, it's not said that Sawyer wants the same thing: he is arrived at an age where or you start to think seriously to commit, or you run at the minimum hint that there is a chance to be shackled... There is quite a controversy inside Sawyer, he is jealous of Harlan, mainly due to his job, but he is also skittish when it's time to commit and give something real to Harlan. Where Harlan is open and maybe careless, at least he has his mind clear and he knows what he wants... for all the years Sawyer has more than Harlan, he has not yet reached that level of maturity.Anyway this is a novella, mostly and erotic novella, with a lot of sex scenes, hot and nice, and all in all it spans only two days in the life of our characters, so there is not enough time to develop a lot, but I have the idea that the author has something more in mind, since she introduced some supporting characters (Harlan's brother, Rhys, and Sawyer's friend, Macon) that have too much deepness to be only a passing spectator.","You Can Leave Your Hat On is what the title promised, a naughty little novella on a stripper and his lover. The starting point of the story is one I already see in the past, a young and handsome"
Not exactly what I remember the stories to be but this might be a different version then the one I was read.,Not exactly what I remember the stories to be but this might be a different version then the one I was read.
"A snow storm brought them together, but God's love and their love for one another will keep them together when deep hurts, fears, on and sins from the past threaten to tear them apart. I really enjoyed this story of forgiveness and new beginnings.","A snow storm brought them together, but God's love and their love for one another will keep them together when deep hurts, fears, on and sins from the past threaten to tear them apart. I really enjoyed this story of forgiveness and"
It's like these 2 chapters were edited out of a book for being boring and not worth reading.  The author disagreeing made it into it's own book.  I'd leave these 2 chapters out myself.  It's a waste of time to even download for free.  We should be paid to read it.,It's like these 2 chapters were edited out of a book for being boring and not worth reading. The author disagreeing made it into it's own book. I'd leave these 2 chapters out myself. It's a
